740000380,Stöde station,62.419716,16.598610,2281,6637149,1373317
740000381,Munkfors Busstationen,59.834348,13.545841,1762,6588917,1617047
740000383,Barkarby station,59.404568,17.866055,0123,6620830,1523336
740000384,Surahammar station,59.706626,16.219685,1907,6266588,1448959
740000385,Tingsryd busstation,56.524027,14.975918,0763,6452950,1334847
740000386,Vedum station,58.169317,12.998538,1470,7234422,1637785
740000387,Malå busstation,65.183880,18.746651,2418,6305414,1429236
740000388,Gemla station,56.870071,14.644832,0780,7206238,1674074
740000389,Norsjö busstation,64.914477,19.484690,2417,7073835,1723099
740000390,Obbola Centralhållplats,63.701537,20.319129,2480,7130367,1744840
740000391,Robertsfors busstation,64.192305,20.847336,2409,6650071,1606204
740000392,Storvreta station,59.956065,17.706075,0380,7290065,1474632
740000394,Tärnaby busstation,65.710691,15.252423,2421,7118159,1575201
740000395,Åsele busstation,64.161654,17.350862,2463,6156037,1337453
740000397,Svedala station,55.506868,13.232410,1263,6715344,1420826
740000398,Dala-Järna station,60.547777,14.362236,2021,6925040,1583230
740000399,Vi centrum,62.428017,17.416210,2281,7013076,1635679
740000400,Bjästa busstation,63.201606,18.501742,2284,7039874,1614848
740000401,Bredbyn busstn,63.449068,18.107246,2284,6363534,1299720
740000402,Horred station,57.353342,12.477270,1463,7028864,1668204
740000403,Husum torget,63.329290,19.163414,2284,6419334,1535880
740000404,Gamleby station,57.896954,16.410235,0883,6387950,1486844
740000405,Mariannelund station,57.616407,15.585077,0686,6711532,1413304
740000406,Vansbro centrum,60.512026,14.226879,2021,6915258,1562862
740000407,Matfors busstation,62.344262,17.018499,2281,6881112,1423934
740000408,Sveg station,62.035501,14.351596,2361,6910245,1581695
740000409,Kvissleby Njurundahallen,62.295659,17.379544,2281,6615633,1332121
740000410,Edane station,59.626829,12.829366,1784,7047794,1533061
740000411,Ramsele busstation,63.537084,16.469678,2283,6969229,1604491
740000413,Ramvik,62.818879,17.854651,2280,7497871,1682959
740000414,Fjällåsen station,67.518416,20.093422,2523,6151631,1359766
740000415,Rydsgård station,55.474233,13.587493,1264,6933884,1587706
740000417,Söråker köpcenter,62.506306,17.507319,2262,6607386,1344327
740000418,Högboda station,59.557620,13.051482,1715,6629928,1427744
740000419,Hällefors station,59.782636,14.518614,1863,7063005,1440979
740000420,Föllinge,63.670126,14.612784,2309,7082518,1487698
740000421,Strömsund busstation,63.849900,15.554907,2313,7156449,1420299
740000422,Gäddede busstation,64.503934,14.146050,2313,6999912,1527805
740000423,Hammarstrand busstation,63.107993,16.355764,2303,6704373,1440837
740000424,Björbo station,60.452774,14.730099,2026,7052802,1477416
740000425,Hammerdal busstation,63.582820,15.350216,2313,6602747,1353682
740000426,Fagerås station,59.519396,13.219949,1715,6503263,1362190
740000427,Hällekis station,58.630010,13.432555,1471,7222161,1561454
740000428,Storuman station,65.096995,17.112391,2421,6998158,1396119
740000429,Höglekardalen,63.078392,13.749215,2321,6576674,1450752
740000431,Garphyttan Kvarnvägen,59.308043,14.940556,1880,6248086,1367550
740000432,Vittsjö station,56.342113,13.663264,1293,6658231,1351258
740000433,Lysvik station,60.016032,13.137747,1766,7112214,1519262
740000434,Hoting station,64.115971,16.200254,2313,6219302,1339877
740000435,Ljungbyhed busstation,56.075325,13.233567,1276,7217996,1452706
740000436,Klimpfjäll,65.061949,14.800051,2462,6663891,1607538
740000438,Skyttorp station,60.079692,17.737155,0380,6339202,1380664
740000439,Forsheda station,57.163362,13.832761,0683,6417830,1274858
740000440,Bruksvägen,57.828223,12.014763,1440,6239799,1420397
740000441,Olofström station,56.279537,14.520084,1060,6476390,1334150
740000442,Järpås station,58.379245,12.969947,1494,7043137,1371674
740000445,Kall,63.473667,13.230247,2321,6709498,1400841
740000446,Äppelbo E16,60.490904,14.001138,2021,7025789,1364741
740000448,Edsåsdalen,63.315641,13.105983,2321,6974848,1346808
740000449,Ljungdalen,62.852043,12.796285,2326,6202134,1385596
740000450,Tollarp bibliotek,55.934328,13.974643,1290,7168937,1540495
740000451,Vilhelmina station,64.622888,16.651430,2462,7040980,1410660
740000452,Offerdal Ede,63.466259,14.013118,2309,7193600,1418308
740000453,Stora Blåsjön,64.836540,14.083623,2313,7006448,1489500
740000454,Stugun,63.167540,15.596602,2303,7007504,1356866
740000455,Vålådalen Västra,63.148743,12.965211,2321,6431315,1265895
740000456,Kode station,57.944418,11.851007,1482,6657865,1607374
740000458,Vattholma station,60.025679,17.731060,0380,6853817,1501772
740000460,Färila busstation,61.798238,15.838662,2161,6708976,1453473
740000462,Mockfjärd gamla station,60.495737,14.958590,2026,6874967,1473466
740000463,Kårböle Preem,61.987089,15.298881,2161,7387750,1850350
740000464,Övertorneå busstation,66.390104,23.657564,2518,6340815,1374980
