Kommunkod|Tätortskod|Tätortsbeteckning|lat|lng
2021|T6828|Vansbro|60.51002680411199|14.227275176740072
2021|T6900|Äppelbo|60.48147881139862|14.043790549020175
2023|T6616|Limedsforsen|60.89585183421047|13.3895778208272
2023|T6636|Malung|60.6543663258648|13.723288897804187
2023|T6640|Malungsfors|60.732355210449285|13.557849484985386
2023|T6784|Sälen|61.15577760594428|13.267962511875469
2023|T6808|Transtrand|61.09017654366934|13.317507248921983
2026|T6428|Björbo|60.45935514159558|14.715976622298236
2026|T6456|Bäsna|60.53490550977416|15.202989522013253
2026|T6484|Djurås|60.55900136275284|15.133767368463966
2026|T6460|Floda / Dala-Floda|60.49836859231278|14.795018176876514
2026|T6528|Gagnef|60.59681135842682|15.073909075224087
2026|T6644|Mockfjärd|60.493829186338594|14.948347704087027
2026|T6728|Sifferbo|60.55733290400724|15.225997962210116
2029|T6402|Alvik|60.74580412240387|14.864667241449046
2029|T6476|Djura|60.61018261778251|15.005278793226136
2029|T6574|Hjortnäs och Sunnanäng|60.79136316689894|14.977773782399392
2029|T6584|Häradsbygden|60.70256551889139|15.035207387614964
2029|T6596|Insjön|60.67781917578135|15.09494304914407
2029|T6608|Leksand|60.73128270193635|14.998918267327365
2029|T6732|Siljansnäs|60.774689739293194|14.876699330868998
2029|T6816|Tällberg|60.82010394073519|15.006968008356868
2029|T6872|Västanvik|60.72941301735378|14.945219837214259
2031|T6410|Nittsjö, Sätra och Backa|60.92285691381974|15.100153206592582
2031|T6436|Boda|61.01565019870333|15.211490529229328
2031|T6516|Furudal|61.170525556979136|15.1256979475635
2031|T6560|Gulleråsen|61.05969157507569|15.176903392178785
2031|T6660|Nedre Gärdsjö|60.93971653484198|15.22682047725251
2031|T6716|Rättvik|60.87228008492491|15.115666142899503
2031|T6848|Vikarbyn|60.9112396344492|15.016815186436109
2034|T6696|Orsa|61.090145725317406|14.628886539716477
2034|T6736|Skattungbyn|61.18477656342276|14.851110290810807
2039|T6448|Brunnsberg|61.286930527289904|13.910040040214497
2039|T6500|Evertsberg|61.13612598804125|13.957674178812779
2039|T6592|Idre|61.85923088055813|12.724035766745185
2039|T6708|Rot|61.2526384931385|14.046676804223425
2039|T6788|Särna|61.69196782277577|13.13478906662278
2039|T6884|Västermyckeläng|61.21347437801744|14.03134925305775
2039|T6896|Älvdalen|61.22502994085863|14.044067000848502
2061|T6558|Gubbo|60.177370149257534|15.320825867276884
2061|T6566|Hagge|60.12345128317841|15.272360966439727
2061|T6744|Smedjebacken|60.14310975596196|15.413386812445081
2061|T6796|Söderbärke|60.06581226281887|15.5671463777377
2061|T6820|Vad|60.027398883687304|15.658072508632884
2062|T6440|Bonäs|61.07257539663302|14.488510540753266
2062|T6540|Gesunda|60.88592798129466|14.54839208734987
2062|T6648|Mora|61.00961557898583|14.563540861615046
2062|T6672|Nusnäs|60.960363219479596|14.64332559747647
2062|T6724|Selja|61.018054323830796|14.468261087121677
2062|T6748|Sollerön|60.91592205294044|14.617286254424652
2062|T6844|Stenis och Vika|60.94655650410346|14.458009775569318
2062|T6832|Vattnäs|61.04924744221611|14.596236002275312
2062|T6836|Venjan|60.96495818639968|13.890284697545571
2062|T6860|Vinäs|60.96832354398396|14.538690661587713
2062|T6864|Våmhus|61.11490512514362|14.47179387509332
2080|T6408|Aspeboda|60.55635986100795|15.512964339491953
2080|T6412|Bengtsheden|60.71495461354155|15.88541630680557
2080|T6424|Bjursås|60.73768924770415|15.45099144370888
2080|T6430|Karlsbyheden och Blixbo|60.63607637340401|15.840638296692914
2080|T6472|Danholn|60.619997951449065|15.794630691391594
2080|T6496|Enviken|60.80848150101581|15.748993496244786
2080|T6504|Falun|60.60273775656154|15.65607059585074
2080|T6458|Gamla Berget och Korsgården|60.597461561008764|15.562732737886254
2080|T6552|Grycksbo|60.68750641809041|15.485077584250318
2080|T6620|Linghed|60.783565155261705|15.861413367537073
2080|T6766|Stennäset|60.63309715353315|15.598084041776161
2080|T6768|Sundborn|60.65186206949204|15.770357725511587
2080|T6776|Svärdsjö|60.74045718286439|15.905193075655154
2080|T6780|Sågmyra|60.7125670124062|15.300675798947378
2080|T6814|Toftbyn|60.711003643382064|15.775290898853553
2080|T6840|Vika|60.511686130940106|15.709990868821286
2080|T6916|Övertänger|60.86455441925872|15.751852725943522
2081|T6444|Borlänge|60.48830648727801|15.427325703073782
2081|T6568|Halvarsgårdarna|60.40530477404849|15.389880554408986
2081|T6588|Idkerberget|60.370110415652704|15.230846992277703
2081|T6666|Norr Amsberg|60.529624531039865|15.354350126913282
2081|T6692|Ornäs|60.5086825658625|15.53812200569868
2081|T6704|Repbäcken|60.5164094695164|15.339963169302036
2081|T6706|Romme|60.44051450529291|15.49429317810884
2081|T6806|Torsång|60.45977219508566|15.55631228978885
2082|T6492|Enbacka och Mora|60.40469996632019|15.600803856698963
2082|T6764|Skedvi kyrkby|60.404276977954105|15.809586191195558
2082|T6752|Solvarbo|60.39086393365379|15.67029189323916
2082|T6792|Säter|60.3430867904271|15.758791167597318
2083|T6532|Garpenberg|60.314370000660105|16.193162586575927
2083|T6572|Hedemora|60.2803708259368|15.980404904372314
2083|T6632|Långshyttan|60.45238251415418|16.038302370896105
2083|T6852|Vikmanshyttan|60.29751378695208|15.831404745483358
2083|T6880|Västerby|60.31156914500932|15.92608023048227
2084|T6404|Avesta|60.13899564136971|16.18372641380957
2084|T6462|Folkärna|60.156188924753835|16.31277671951359
2084|T6508|Fors|60.2071213005252|16.3103907258706
2084|T6576|Horndal|60.29408089996288|16.411583280312385
2084|T6602|Krylbo och Karlbo|60.119528052599215|16.244319394965206
2084|T6664|Nordanö|60.148097009425946|16.237275732177288
2084|T6684|Näs bruk|60.178353737978604|16.465169503569488
2085|T6432|Blötberget|60.12468772222996|15.059531036663985
2085|T6512|Fredriksberg västra|60.139537749139784|14.370369094500589
2085|T6514|Fredriksberg östra|60.14014526272769|14.388884684733858
2085|T6544|Gonäs|60.14721762609204|15.101549323478373
2085|T6556|Grängesberg|60.0741393134215|15.009325670675091
2085|T6554|Grängesberg västra|60.078214716534696|14.980322024339062
2085|T6580|Håksberg|60.181255148843235|15.2044626694688
2085|T6586|Sandudden och Hörks hage|60.05247917084006|15.02671966666208
2085|T6624|Ludvika|60.120173427077816|15.170651579583948
2085|T6676|Nyhammar|60.27960371240522|14.972444391849676
2085|T6720|Saxdalen|60.15024389151439|14.97336314719642
2085|T6772|Sunnansjö|60.21632721603524|14.96401574810262
2085|T6804|Sörvik|60.189504315360296|15.14509989138541
2085|T6842|Norrbo och Västansjö|60.24142488586337|14.942731527698914
2101|T7180|Lingbo|61.05093444002033|16.69398918498424
2101|T7236|Ockelbo|60.87433784087078|16.700022166242743
2101|T7372|Åmot|60.96396457168467|16.451498805032603
2104|T7112|Hofors|60.545374592012394|16.2941647291245
2104|T7254|Robertsholm|60.57076878446539|16.271752200223577
2104|T7332|Torsåker|60.511710796236585|16.475789792688484
2121|T7000|Alfta|61.34841137486869|16.08359012824088
2121|T7044|Edsbyn|61.36915211232272|15.813060171382082
2121|T7256|Roteberg|61.39443676435183|15.830417768646031
2121|T7258|Runemo|61.355160223305106|16.142074468899033
2121|T7360|Viksjöfors|61.33258452053041|15.960367135869829
2132|T7020|Bergsjö|61.98263061651596|17.062068415731158
2132|T7068|Gnarp|62.050563166730704|17.24132182779083
2132|T7096|Harmånger|61.926262098506314|17.220433284502032
2132|T7172|Hassela|62.109873163209|16.70250606329452
2132|T7136|Ilsbo|61.856606279541644|17.05066595022333
2132|T7154|Jättendal|61.98037600989969|17.26527518670505
2132|T7292|Stocka|61.89455887143848|17.337159906602466
2132|T7304|Strömsbruk|61.8691501801605|17.317629904669854
2161|T7064|Färila|61.79117767266752|15.83167724298928
2161|T7124|Hybo|61.79746474212111|16.196129933199522
2161|T7152|Järvsö|61.71047926549757|16.165653580064657
2161|T7178|Lillhaga|61.829958300116346|16.046132082957538
2161|T7184|Ljusdal|61.83057565536492|16.09256155046928
2161|T7192|Los|61.73721950584916|15.16680609154605
2161|T7324|Tallåsen|61.86124555812765|15.997759946539043
2180|T7014|Berg|60.40881147047323|17.043059022827244
2180|T7016|Bergby|60.89539408656915|17.072971863432894
2180|T7028|Björke|60.766288115472484|17.19005427427919
2180|T7038|Bönan|60.70902292810487|17.250105213366332
2180|T7052|Forsbacka|60.605380907558|16.89103830494903
2180|T7060|Furuvik|60.65022146993278|17.330730488885767
2180|T7076|Gävle|60.665138771048696|17.175015283251454
2180|T7104|Hedesunda|60.39390447982648|17.006876843700724
2180|T7170|Lindbacka, Jonstorp och Källhagen|60.70150158182786|17.187403844715615
2180|T7228|Norrsundet|60.929737209720784|17.132820434030695
2180|T7308|Sälgsjön|60.61773281966325|17.113410052002532
2180|T7340|Trödje|60.81768727218455|17.21486414625971
2180|T7346|Harkskär och Utvalnäs|60.76369413390451|17.325505629030168
2180|T7344|Valbo|60.651908066339836|17.014968801715973
2180|T7368|Åbyggeby|60.73583801085729|17.11238440781699
2180|T7388|Överhärde|60.618584605986975|16.9693374156611
2181|T7084|Hammarby|60.54385266514106|16.569341487530824
2181|T7110|Hillsta och Se|60.60499882023394|16.64701950341961
2181|T7140|Jäderfors|60.66214288454901|16.70212675205239
2181|T7148|Järbo|60.72078564877663|16.5954542307633
